place.name,place.description,place.prices,place.ratings,place.mentions,place.location,place.region,place.spenttime,place.openingtime
Standard of Dressing,NA,NA,NA,,"AddressBlk 809 French Road Kitchener Complex Kitchener Complex #02-57, Singapore 200809 Singapore",Neighborhood: Lavender,1-2 hours,NA
MAXI CAB SG,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
TD Spa,NA,NA,NA,,"Address122 Bedok North Street 2 #01-132, Singapore 460122 Singapore",Neighborhood: Bedok,NA,NA
Krisjewels,NA,NA,NA,,"Address1F Cantonment Road The Pinnacle @ Duxton 46floor - Unit 69, Pinnacle@Duxton Bldg, Singapore 085601 Singapore",Neighborhood: Central Area/City Area,< 1 hour,NA
AOT SinThai Transport & Services,NA,NA,NA,,NA,NA,More than 3 hours,NA
Maxicab Tranport SG,NA,NA,NA,,NA,Neighborhood: Trafalgar,NA,NA
Boo-Ti Parlour,NA,NA,NA,,"Address84 Joo Chiat Place, Singapore 427801 Singapore",Neighborhood: Geylang East,1-2 hours,NA
Ashi Foot Reflexology,NA,NA,NA,,"Address279 Bishan Street 24 #01-56, Singapore 570279 Singapore",Neighborhood: Bishan,1-2 hours,NA
Ashi Foot Reflexology,NA,NA,NA,,"Address452 Ang Mo Kio Avenue 10 #01-1781, Singapore 560452 Singapore",Neighborhood: Ang Mo Kio,1-2 hours,NA
Ashi Foot Reflexology,NA,NA,NA,,"Address61 Ang Mo Kio Avenue 8 #02-06 Jubilee Square, Singapore 569814 Singapore",Neighborhood: Ang Mo Kio,1-2 hours,NA
Ashi Foot Reflexology,NA,NA,NA,,"Address163 Bukit Merah Central #02-3609, Singapore 150163 Singapore",Neighborhood: Bukit Merah,1-2 hours,NA
The Wine Stable,NA,NA,NA,,"Address63 Hillview Avenue Lam Soon Industrial Building #10-06a, Singapore 669569 Singapore",Neighborhood: Bukit Batok,1-2 hours,NA
Essence Vale Spa,NA,NA,NA,,"Address1A Cuscaden Road Hotel Jen Tanglin Singapore Level 4, Fitness Centre, Singapore 249716 Singapore",Neighborhood: Central Area/City Area,1-2 hours,10:00 AM - 9:00 PM
Premium PEV,NA,NA,NA,,"Address1 North Bridge Road High Street Centre #01-46, High Street Centre, Singapore 179094 Singapore",Neighborhood: City Hall,2-3 hours,NA
Narcissus Javanese Massage & Hairdressing,NA,NA,NA,,"Address148F Pasir Panjang Road, Singapore 118553 Singapore",Neighborhood: Pasir Panjang 2,2-3 hours,NA
East Silk Palace,NA,NA,NA,,"Address6 Eu Tong Sen Street #01-41 the Central, Singapore 059817 Singapore",Neighborhood: Central Area/City Area,More than 3 hours,NA
i Darts Cube,NA,NA,NA,,"Address2 Jurong East Central 1 #01-17A Jcube, Singapore 609731 Singapore",Neighborhood: Jurong East,NA,NA
QS Spa,NA,NA,NA,,"AddressBlk 555 Ang Mo Kio Avenue 10 Cheng San Place 10 #01-1966, Singapore 560555 Singapore",Neighborhood: Ang Mo Kio,1-2 hours,NA
PilatesPlus,NA,NA,NA,,"Address#03-01, 35 Kreta Ayer Rd, Singapore 089000 Singapore",Neighborhood: Outram,More than 3 hours,NA
Brewlings,NA,NA,NA,,"Address82 Serangoon Garden Way Serangoon Garden Estate, Singapore 555978 Singapore",Neighborhood: Serangoon,More than 3 hours,NA
Liquid Empire Executive,NA,NA,NA,,"Address53B South Bridge Road Level 2, Singapore 058684 Singapore",Neighborhood: Central Area/City Area,1-2 hours,NA
The Tui Collection,NA,NA,NA,,"Address501 Bukit Timah Road Cluny Court 02-16 Cluny Court, Singapore 259760 Singapore",Neighborhood: Tanglin,1-2 hours,NA
Pilates Flow@2ND,NA,NA,NA,,"Address733 Bukit Timah Road #02-06 Second Avenue Junction 2nd Avenue Junction, Singapore 269748 Singapore",Neighborhood: Bukit Timah,NA,NA
Nehohmee,NA,NA,NA,,"Address195 Pearl's Hill Terrace #02-48, Singapore 168976 Singapore",Neighborhood: Central Area/City Area,More than 3 hours,NA
esBoudoir Vivo City,NA,NA,NA,,"Address#02-226 & #02-227 Vivo City No.1 Harbour Front Walk, Singapore 098585 Singapore",Neighborhood: Bukit Merah,1-2 hours,10:00 AM - 9:00 PM
Sri Bayu Balinese Spa,NA,NA,NA,,"Address959 Upper Serangoon Road Safra Yishun, Singapore 534718 Singapore",Neighborhood: Yishun,1-2 hours,11:00 AM - 10:00 PM
Lifestyle Fitness,NA,NA,NA,,"Address503 Jurong West Avenue 1 Hong Kah Court #03-845, Singapore 640503 Singapore",Neighborhood: Hong Kah South,1-2 hours,NA
T Play,NA,NA,NA,,"Address2 Bukit Batok West Avenue 7, Singapore 659003 Singapore",Neighborhood: Bukit Batok,NA,NA
Jennifer Lim Art,NA,NA,NA,,"Address224 Lorong 8 Toa Payoh, Singapore 310224 Singapore",Neighborhood: Lorong 8 Toa Payoh,2-3 hours,10:00 AM - 4:00 PM
Fashion Makerspace,NA,NA,NA,,"Address10A Trengganu Street, Singapore 058464 Singapore",Neighborhood: Outram,1-2 hours,NA
Beauty Spa Miss Paris,NA,NA,NA,,"Address391 Orchard Road Ngee Ann City #05-25,Ngee Ann City, Singapore 238872 Singapore",Neighborhood: Boulevard,1-2 hours,NA
Maketh Project,NA,NA,NA,,"Address68B Race Course Road 3rd Floor, Singapore 218571 Singapore",Neighborhood: Little India,NA,NA
D&P Effleurage and Pressure Massage,NA,NA,NA,,"Address14 Scotts Road Far East Plaza Unit 05-121, Far East Plaza, Singapore 228213 Singapore",Neighborhood: Central Area/City Area,1-2 hours,NA
Sunflower Spa,NA,NA,NA,,"Address134 Rangoon Road, Singapore 218412 Singapore",Neighborhood: Kampong Java,1-2 hours,NA
Seah Trans,NA,NA,NA,,NA,NA,< 1 hour,NA
Mondays Off,NA,NA,NA,,"Address76 Haji Lane, Singapore 189269 Singapore",Neighborhood: Rochor,< 1 hour,NA
Orient Pearl Island,NA,NA,NA,,"Address48 Serangoon Road #01-74, Little India Arcade, Singapore 217959 Singapore",Neighborhood: Rochor,< 1 hour,NA
Evolve Mixed Martial Arts,NA,NA,NA,,"Address1 Selegie Road Pomo #03-11 PoMo Mall, Singapore 188306 Singapore",Neighborhood: Rochor,1-2 hours,6:30 AM - 11:00 PM
Twenty-Eight Limo,NA,NA,NA,,NA,NA,More than 3 hours,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Singapore School of Meditation & Yoga,NA,NA,NA,,"Address123 Penang Road #04-13, Singapore 238465 Singapore",Neighborhood: Museum,NA,NA
JForte Sportainment Center,NA,NA,NA,,"Address201 Victoria Street Bugis+ Bugis+, Singapore 188067 Singapore",Neighborhood: Rochor,NA,NA
Addventus Private Limited,NA,NA,NA,,NA,NA,1-2 hours,NA
Inlinex Pte Ltd,NA,NA,NA,,"Address20 Upper Circular Road #01-15 the Riverwalk, Singapore 058416 Singapore",Neighborhood: Central Area/City Area,More than 3 hours,NA
My Art Space,NA,NA,NA,,"Address31 Orchard Road Istana Park, Singapore 238888 Singapore",Neighborhood: Museum,NA,NA
ARJ Limousine Service,NA,NA,NA,,NA,Neighborhood: Central Water Catchment,< 1 hour,NA
DrSpa,NA,NA,NA,,"Address9 Tan Quee Lan Street #01-02 Tanqueelan Suites, Singapore 188098 Singapore",Neighborhood: Central Area/City Area,NA,NA
Papa Poika,NA,NA,NA,,"Address290 Orchard Road The Paragon #05-30a, Singapore 238859 Singapore",Neighborhood: Boulevard,< 1 hour,NA
Beyond Beauty,NA,NA,NA,,"Address5 Tampines Central 6 Telepark #01-04/05 Telepark, Singapore 529482 Singapore",Neighborhood: Tampines East,NA,11:00 AM - 9:00 PM
Beyond Beauty,NA,NA,NA,,"Address20 Malacca Street Malacca Centre #11-00 Malacca Centre, Singapore 048979 Singapore",Neighborhood: Central Area/City Area,NA,11:00 AM - 9:00 PM
Beyond Beauty,NA,NA,NA,,"Address50 Jurong Gateway Road Jem #03-41, Singapore 608549 Singapore",Neighborhood: Jurong East,NA,11:00 AM - 9:00 PM
Beyond Beauty,NA,NA,NA,,"Address15 Scotts Road Thong Teck Building #01-01/02, Singapore 228218 Singapore",Neighborhood: Central Area/City Area,NA,11:00 AM - 9:00 PM
Beyond Beauty,NA,NA,NA,,"Address181 Orchard Road Orchard Central #04-14, Singapore 238896 Singapore",Neighborhood: Somerset,NA,11:00 AM - 9:00 PM
Unique Spa,NA,NA,NA,,"Address128 Rangoon Road, Singapore 218406 Singapore",Neighborhood: Kampong Java,NA,12:00 AM - 12:00 AM
Le Spa,NA,NA,NA,,"Address16A Chun Tin Road, Singapore 599603 Singapore",Neighborhood: Anak Bukit,NA,10:00 AM - 6:00 PM
Qi Mantra Remedial Spa,NA,NA,NA,,"Address18 Lor Mambong, Singapore 277678 Singapore",Neighborhood: Holland Village,NA,12:00 PM - 10:00 PM
An Qi Spa,NA,NA,NA,,"Address101 Upper Cross Street People's Park Centre #03-79 People's Park Centre, Singapore 058357 Singapore",Neighborhood: Central Area/City Area,NA,10:00 AM - 9:00 PM
RN Spa,NA,NA,NA,,"Address11 Cavenagh Road Holiday Inn Singapore Orchard City Centre #b1-01, Singapore 229616 Singapore",Neighborhood: Somerset,NA,11:00 AM - 8:30 PM
Spacio Beauty,NA,NA,NA,,"Address186 Toa Payoh Central Blk #01-426, Singapore 310186 Singapore",Neighborhood: Toa Payoh Central,NA,10:00 AM - 8:00 PM
Spacio Beauty,NA,NA,NA,,"Address323A Balestier Road J W Building #323A J W Building, Singapore 329750 Singapore",Neighborhood: Novena,NA,NA
The Imperial Massage & Spa,NA,NA,NA,,"Address786 North Bridge Road, Singapore 198754 Singapore",Neighborhood: Rochor,NA,10:00 AM - 7:00 PM
Shanthini's,NA,NA,NA,,"Address93 Syed Alwi Road, Singapore 207669 Singapore",Neighborhood: Rochor,NA,NA
Bioskin,NA,NA,NA,,"Address30 Raffles Place Chevron House #03-03 Chervon House, Singapore 048622 Singapore",Neighborhood: Central Area/City Area,NA,NA
Jawed Habib,NA,NA,NA,,"Address279 Tanjong Katong Road, Singapore 437062 Singapore",Neighborhood: Marine Parade,NA,11:00 AM - 8:00 PM
My Facial Room,NA,NA,NA,,"AddressBlk 154 Bishan Street 13 Bishan Cresta #07-02, Singapore 570154 Singapore",Neighborhood: Bishan,NA,3:30 PM - 8:00 PM
Kew Organics,NA,NA,NA,,"Address6 Eu Tong Sen Street The Central #03-83, Singapore 059817 Singapore",Neighborhood: Central Area/City Area,NA,11:00 AM - 9:00 PM
Nature Forest Spa,NA,NA,NA,,"Address62B Pagoda Street, Singapore 059221 Singapore",Neighborhood: Outram,NA,11:30 AM - 10:30 PM
Beauty Hope,NA,NA,NA,,"AddressBlk 709 Ang Mo Kio Avenue 8 #01-2605, Singapore 560709 Singapore",Neighborhood: Ang Mo Kio,NA,11:30 AM - 9:00 PM
Renaza Hair & Nail Spa,NA,NA,NA,,"Address12 Marina View Asia Square Tower 2 #02-18/19 Asia Square Tower 2, Singapore 018961 Singapore",Neighborhood: Central Area/City Area,NA,11:00 AM - 8:00 PM
Beauty Hope,NA,NA,NA,,"AddressBlk 261 Waterloo Street Waterloo Centre #02-42, Singapore 180261 Singapore",Neighborhood: Rochor,NA,11:30 AM - 9:00 PM
Face Bistro,NA,NA,NA,,"Address25C Lorong Liput Holland Village Holland Village, Singapore 277735 Singapore",Neighborhood: Holland Village,NA,11:00 AM - 8:00 PM
Koiskin Lab,NA,NA,NA,,"AddressBlk 449 Clementi Ave 3 #02-255, Singapore 120449 Singapore",Neighborhood: Clementi,NA,11:00 AM - 8:00 PM
Green Beauty Solutions,NA,NA,NA,,"Address442 Clementi Ave 3 #01-85, Singapore 120442 Singapore",Neighborhood: Clementi,NA,11:00 AM - 9:00 PM
The Tamarind Spa,NA,NA,NA,,"Address8A Kensington Park Road Serangoon Garden Estate Serangoon Gardens Estate, Singapore 557260 Singapore",Neighborhood: Serangoon,NA,12:00 PM - 9:00 PM
Beauteous,NA,NA,NA,,"Address11 Cavenagh Road Holiday Inn Singapore Orchard City Centre #01-06/07, Singapore 229616 Singapore",Neighborhood: Somerset,NA,12:00 PM - 9:00 PM
Ex Beauty,NA,NA,NA,,"AddressBlk 11A Boon Tiong Road Tiong Bahru View #01-01, Singapore 161011 Singapore",Neighborhood: Bukit Merah,NA,10:00 AM - 8:00 PM
Adeline Beauty,NA,NA,NA,,"AddressBlk 510 Bishan Street 13 #02-05, Singapore 570510 Singapore",Neighborhood: Bishan,NA,NA
Adeline Beauty,NA,NA,NA,,"AddressBlk 135 Jurong East Street 13 #01-321, Singapore 600135 Singapore",Neighborhood: Jurong East,NA,NA
Adeline Beauty,NA,NA,NA,,"Address155A Rochor Road Bugis Village, Singapore 188430 Singapore",Neighborhood: Rochor,NA,NA
SlenderWorkz,NA,NA,NA,,"Address158 Rochor Road, Singapore 188433 Singapore",Neighborhood: Rochor,NA,11:00 AM - 8:00 PM
Gracious Nail & Beaute,NA,NA,NA,,"Address171 East Coast Road #01-05, Singapore 428876 Singapore",Neighborhood: Marine Parade,NA,10:00 AM - 8:00 PM
Far East Gems & Jewellery,NA,NA,NA,,"Address26 Kandahar Street Level 3, Singapore 198888 Singapore",Neighborhood: Rochor,< 1 hour,12:00 PM - 5:00 PM
MaskaBeauty,NA,NA,NA,,"AddressBlk 452 Ang Mo Kio Avenue 10 #01-1793, Singapore 560452 Singapore",Neighborhood: Ang Mo Kio,1-2 hours,10:00 AM - 8:30 PM
Crystal Beauty Spa,NA,NA,NA,,"Address19 Leedon Heights D'Leedon #01-68 D'Leedon, Singapore 266227 Singapore",Neighborhood: Bukit Timah,NA,10:30 AM - 8:30 PM
Koiskin Lab,NA,NA,NA,,"AddressBlk 183 Toa Payoh Central #01-258, Singapore 310183 Singapore",Neighborhood: Toa Payoh Central,NA,11:00 AM - 8:00 PM
Lady Fair Beauty Centre,NA,NA,NA,,"Address17 Upper Dickson Road, Singapore 207476 Singapore",Neighborhood: Rochor,NA,11:30 AM - 8:00 PM
Fresver,NA,NA,NA,,"Address5 Tampines Central 6 Telepark #01-23 Telepark, Singapore 529482 Singapore",Neighborhood: Tampines East,NA,12:00 PM - 9:00 PM
Kew Organics,NA,NA,NA,,"AddressBlock 2 Everton Park Everton Park #01-47, Singapore 081002 Singapore",Neighborhood: Bukit Merah,NA,12:00 PM - 8:30 PM
Devotion Beautique,NA,NA,NA,,"Address402 Orchard Road Delfi Orchard #03-18 Delfi Orchard, Singapore 238876 Singapore",Neighborhood: Boulevard,NA,11:00 AM - 9:00 PM
Face·bar,NA,NA,NA,,"Address21A Lorong Mambong Holland Village Holland Village, Singapore 277680 Singapore",Neighborhood: Holland Village,NA,12:00 PM - 9:00 PM
CHEONGDAM Korean Skin Management,NA,NA,NA,,"Address124 Tanjong Pagar Road, Singapore 088533 Singapore",Neighborhood: Outram,1-2 hours,NA
TOYTAG,NA,NA,NA,,"Address201 Henderson Road Apex @ Henderson #06-02/03, Apex @ Henderson, Singapore 159545 Singapore",Neighborhood: Bukit Merah,1-2 hours,10:00 AM - 7:00 PM
Snug As Bug,NA,NA,NA,,"Address75A Loewen Road, Singapore 248851 Singapore",Neighborhood: Tanglin,1-2 hours,NA
Nue Shape,NA,NA,NA,,"Address6A Shenton Way #03-18, Singapore 068816 Singapore",Neighborhood: Central Area/City Area,NA,11:00 AM - 8:30 PM
Tang Dynasty Massage & Spa,NA,NA,NA,,"Address25 Club Street, Singapore 069412 Singapore",Neighborhood: Outram,NA,NA
Body Wellness,NA,NA,NA,,"Address3 Killiney Road Winsland House I #B1-02 Winsland House 1, Singapore 239519 Singapore",Neighborhood: Somerset,NA,10:30 AM - 8:30 PM
Body Wellness,NA,NA,NA,,"Address64 60 Peck Seah Street, Singapore 079323 Singapore",Neighborhood: Outram,NA,10:30 AM - 8:30 PM
Dynacle Transportation and Workshop Pte Ltd,NA,NA,NA,,"Address21 Woodlands Close #07-42 Primz Bizhub, Singapore 737854 Singapore",Neighborhood: Woodlands,< 1 hour,NA
Angelique Boutique,NA,NA,NA,,"Address176 Orchard Road The Centrepoint #02-40/41 The Centrepoint, Singapore 238843 Singapore",Neighborhood: Somerset,< 1 hour,NA
Premiumstar,NA,NA,NA,,NA,NA,More than 3 hours,NA
DUX Laser Tag,NA,NA,NA,,"Address334 Sembawang Close Block 334,, Singapore 750334 Singapore",Neighborhood: Sembawang,1-2 hours,NA
Pictorial,NA,NA,NA,,NA,Neighborhood: Tanglin,More than 3 hours,NA
Carrie K,NA,NA,NA,,"Address111 Middle Road, #02-02 National Design Centre, Singapore 188969 Singapore",Neighborhood: Rochor,NA,11:00 AM - 7:00 PM
Linen & More,NA,NA,NA,,"Address1 Kim Seng Promenade Great World City 02-12/13, Singapore 237994 Singapore",Neighborhood: Central Area/City Area,< 1 hour,NA
Private Affairs Clothier,NA,NA,NA,,"Address247 Beach Road Level 2, Singapore 189756 Singapore",Neighborhood: Rochor,< 1 hour,NA
Cloth.ier,NA,NA,NA,,"Address19 Tanglin Road Tanglin Shopping Centre #B1-07 Tanglin Shopping Centre, Singapore 247909 Singapore",Neighborhood: Central Area/City Area,1-2 hours,NA
Urban Yogis,NA,NA,NA,,NA,NA,1-2 hours,NA
Simply Hamper,NA,NA,NA,,"Address62 Ubi Road 1 #05-17 Oxley Bizhub 2 Oxley BizHub 2, Singapore 408734 Singapore",Neighborhood: Kampong Ubi,< 1 hour,NA
L'ecrin Boutique Singapore,NA,NA,NA,,"Address390 Orchard Road Palais Renaissance Palais Renaissance, Singapore 238871 Singapore",Neighborhood: Boulevard,1-2 hours,NA
Suddenly Slender,NA,NA,NA,,"Address11 Cavenagh Road Holiday Inn Singapore Orchard City Centre Floor 01 Unit 09 08 Holiday Inn Orchard City Centre, Singapore 229616 Singapore",Neighborhood: Somerset,1-2 hours,NA
Grammah,NA,NA,NA,,"Address66 Haji Lane, Singapore 189259 Singapore",Neighborhood: Rochor,1-2 hours,NA
Wisteria xuan tcm therapy,NA,NA,NA,,"Address290 Joo Chiat Road, Singapore 427542 Singapore",Neighborhood: Geylang East,NA,NA
Wheeelers,NA,NA,NA,,"Address11 Northshore Drive Marina Country Club, Singapore 828670 Singapore",Neighborhood: Punggol,More than 3 hours,"8:00 AM - 12:00 PM, 4:00 PM - 8:00 PM"
Actually,NA,NA,NA,,"Address313 Orchard Road 313 @ Somerset Floor 04 Unit 313 06 313 Orchard Road, Singapore 238895 Singapore",Neighborhood: Somerset,NA,NA
Sara Taseer Fine Jewellery,NA,NA,NA,,"Address581 Orchard Road Floor 02 Hilton International Singapore 15 Hilton Hotel Shopping Gallery, Singapore 238883 Singapore",Neighborhood: Boulevard,NA,NA
Individual Expression,NA,NA,NA,,"Address501 Orchard Road Wheelock Place #B1-02 Wheelock Place, Singapore 238880 Singapore",Neighborhood: Boulevard,NA,NA
Pact,NA,NA,NA,,"Address181 Orchard Road Orchard Central Orchard Central, #02-16-19, Singapore 238896 Singapore",Neighborhood: Somerset,NA,NA
Vanda Fine Clothing,NA,NA,NA,,"Address1014 Geylang East Avenue 3 Geylang East Industrial Estate, Singapore 389729 Singapore",Neighborhood: Aljunied,NA,NA
Tomio Kayama Gallery Singapore,NA,NA,NA,,"Address47 Malan Road Gillman Barracks #01-26 Gillman Barracks, Singapore 109444 Singapore",Neighborhood: Telok Blangah Drive,NA,NA
U Factory,NA,NA,NA,,"Address37 Malan Road Gillman Barracks Gillman Barracks, Singapore 109452 Singapore",Neighborhood: Telok Blangah Drive,NA,NA
Pashma,NA,NA,NA,,NA,Neighborhood: Changi,NA,NA
The Fashion Gallery,NA,NA,NA,,NA,Neighborhood: Changi,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Singapore Visitor Centre @ CUBE - Boutique Capsule Hotel (Kampong Glam),NA,NA,NA,,"Address55 Bussorah Street, Singapore 199471 Singapore",Neighborhood: Rochor,1-2 hours,8:00 AM - 6:00 PM
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Phiten,NA,NA,NA,,"Address112 East Coast Road #03-19 112 Katong, Singapore 428802 Singapore",Neighborhood: Marine Parade,< 1 hour,NA
Phiten,NA,NA,NA,,"Address50 Jurong Gateway Road #03-10 Jem, Singapore 608549 Singapore",Neighborhood: Jurong East,< 1 hour,NA
Inspire Mum & Baby,NA,NA,NA,,"Address188-2 Tanjong Katong Road, Singapore 436990 Singapore",Neighborhood: Marine Parade,1-2 hours,NA
Creative Culinarie,NA,NA,NA,,"Address17 Eng Hoon Street Eng Hoon Mansions #01-04 Eng Hoon Mansions, Singapore 169767 Singapore",Neighborhood: Bukit Merah,NA,NA
11 Playfair Road Singapore 367986,NA,NA,NA,,"Address11 Playfair Road Living Spring Fellowship, Singapore 367986 Singapore",Neighborhood: Joo Seng,NA,NA
Culinary Hobby Class,NA,NA,NA,,"Address67 Spottiswoode Park Road, Singapore 088656 Singapore",Neighborhood: Bukit Merah,2-3 hours,NA
Y2arts,NA,NA,NA,,"Address211 Henderson Road #01-01A 211 Henderson, Singapore 159552 Singapore",Neighborhood: Bukit Merah,1-2 hours,NA
Barber 25,NA,NA,NA,,"Address6A Shenton Way OUE Downtown Gallery 2 #03-16, Singapore 068815 Singapore",Neighborhood: Cecil,1-2 hours,10:00 AM - 8:00 PM
Only One Chao Phraya,NA,NA,NA,,"Address653 Geylang Road, Singapore 389583 Singapore",Neighborhood: Aljunied,NA,NA
Bricks World,NA,NA,NA,,"Address2 Orchard Turn Ion Orchard #04-15, Singapore 238801 Singapore",Neighborhood: Boulevard,< 1 hour,NA
Yoga Massage,NA,NA,NA,,"Address6 Geylang East Avenue 2 Simsville Chinatown MRT, Singapore 389756 Singapore",Neighborhood: Aljunied,1-2 hours,7:00 PM - 11:00 PM
Poly Beauty,NA,NA,NA,,"Address1 Maritime Square Harbourfront Centre Harbourfront Centre 02-64, Singapore 099253 Singapore",Neighborhood: Bukit Merah,NA,10:30 AM - 9:00 PM
Gojalanjalan Transport,NA,NA,NA,,NA,Neighborhood: Bishan,1-2 hours,NA
Dewi's Beauty,NA,NA,NA,,"Address75 Syed Alwi Road, Singapore 207654 Singapore",Neighborhood: Rochor,< 1 hour,NA
Mins Beauty,NA,NA,NA,,"Address211 New Bridge Road Lucky Chinatown 02-20, Lucky Chinatown, Singapore 059432 Singapore",Neighborhood: Outram,1-2 hours,NA
Swee Swee Bakes,NA,NA,NA,,"AddressBlk 462A Crawford Lane #01-73, Singapore 190462 Singapore",Neighborhood: Crawford,NA,NA
Melon Beauty Salon,NA,NA,NA,,"Address1187 Upper Serangoon Road, The Midtown MidTown, #01-52, Singapore 534785 Singapore",Neighborhood: Rochor,2-3 hours,10:00 AM - 9:00 PM
Stealth Wheels Singapore,NA,NA,NA,,"Address21 Ocean Way W Singapore Sentosa Cove Hotel, Singapore 098374 Singapore",Neighborhood: Sentosa Island,< 1 hour,NA
Kitchen Showdown,NA,NA,NA,,"Address75A Tanjong Pagar Road, Singapore 088496 Singapore",Neighborhood: Outram,2-3 hours,9:00 AM - 10:00 PM
OD Wellness,NA,NA,NA,,"Address59 Jalan Tua Kong South Union Park, Singapore 457254 Singapore",Neighborhood: Bedok,1-2 hours,NA
Limo Maxi Cabs,NA,NA,NA,,NA,NA,< 1 hour,NA
Wovensouls,NA,NA,NA,,"AddressBlk 162, Yung Ping Road Jurong, Singapore 610162 Singapore",Neighborhood: Taman Jurong,1-2 hours,8:00 AM - 8:00 PM
NA,NA,NA,NA,,NA,NA,NA,NA
Liami Transporters,NA,NA,NA,,NA,NA,< 1 hour,NA
Liami Transporters,NA,NA,NA,,NA,NA,< 1 hour,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Downtown,NA,NA,NA,,NA,NA,NA,NA
Maxi Taxi,NA,NA,NA,,NA,NA,< 1 hour,NA
NA,NA,NA,NA,,NA,NA,NA,NA
House of Traditional Javanese Massage,NA,NA,NA,,"Address1 Maritime Square #03-44/45/46 Harbourfront Center, Singapore 099253 Singapore",Neighborhood: Bukit Merah,1-2 hours,NA
Geranium Skin & Hair Boutique,NA,NA,NA,,"Address26 Horne Road B H Building Floor 26 Unit 01 01, Singapore 209062 Singapore",Neighborhood: Lavender,1-2 hours,11:00 AM - 9:00 PM
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Maxicablah,NA,NA,NA,,NA,NA,< 1 hour,NA
HST Tailors,NA,NA,NA,,"Address2 Sims Close #07-12 Gemini @ Sims, Singapore 387298 Singapore",Neighborhood: Aljunied,1-2 hours,NA
Maxicablah,NA,NA,NA,,NA,NA,< 1 hour,NA
Abiraame Popular Jewellers,NA,NA,NA,,"Address85 Serangoon Road, Singapore 217990 Singapore",Neighborhood: Little India,More than 3 hours,NA
Room To Imagine - Art Studio,NA,NA,NA,,"Address395 Jalan Besar #04-01, Singapore 209006 Singapore",Neighborhood: Lavender,2-3 hours,NA
Ikigai Wellness,NA,NA,NA,,"Address6 Eu Tong Sen Street The Central Clarke Quay Central, #03-79, Singapore 059817 Singapore",Neighborhood: Central Area/City Area,1-2 hours,NA
Artisan8 Studio,NA,NA,NA,,"Address150 Orchard Road Orchard Plaza Orchard Plaza 03-06, Singapore 238841 Singapore",Neighborhood: Somerset,2-3 hours,NA
Maxicab Bookings,NA,NA,NA,,NA,NA,1-2 hours,NA
Sky Pilates,NA,NA,NA,,"Address583 Orchard Road Forum #09-01 Forum Office Tower, Singapore 238884 Singapore",Neighborhood: Boulevard,NA,NA
SWAG - Bar & Club,NA,NA,NA,,"Address151A Kitchener Road, Singapore 208526 Singapore",Neighborhood: Lavender,More than 3 hours,NA
Bolly Dance Studio,NA,NA,NA,,NA,NA,< 1 hour,NA
DeStijl Jewellery,NA,NA,NA,,"Address333A Orchard Road Mandarin Gallery Mandarin Gallery #01-09A, Singapore 238897 Singapore",Neighborhood: Somerset,< 1 hour,11:30 AM - 8:30 PM
Pure Bliss Spa,NA,NA,NA,,"Address17 Simon Road, Singapore 545902 Singapore",Neighborhood: Rosyth,1-2 hours,NA
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Dr. Aw JunXin,NA,NA,NA,,NA,NA,NA,NA
THE MAGICAL CLOUD,NA,NA,NA,,"Address190 Clemenceau Avenue #06-08 Singapore Shopping Centre, Singapore 239924 Singapore",Neighborhood: Museum,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
SGBIGMAXICAB TRANSPORTATION,NA,NA,NA,,NA,NA,NA,NA
Alvin Goh,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Common Touch Craft Unit,NA,NA,NA,,"Address44 Kallang Place Four Star Building WPS356, Singapore 339172 Singapore",Neighborhood: Kallang,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Aqua Spin,NA,NA,NA,,"Address277 Orchard Road Orchard Gateway Hotel Jen Orchard Gateway, Singapore 238858 Singapore",Neighborhood: Somerset,< 1 hour,NA
Maxi Cab Sgp,NA,NA,NA,,"AddressBlk 527 Hougang Ave 6, Singapore 530527 Singapore",Neighborhood: Trafalgar,More than 3 hours,9:00 AM - 8:00 PM
